u,g,r,i,z,u_err,g_err,r_err,i_err,z_err,specz,specz_err,photoz,photoz_err
20.72352,20.58324,20.58324,19.18867,18.71974,0.2805923,0.1231313,0.07160472,0.06687076,0.1333591,0.4970354,8.385051E-05,0.536354,0.101215
21.46471,22.40692,22.40692,19.68885,18.96284,0.2949263,0.2982218,0.133543,0.05506903,0.1191696,0.5882215,0.0001335558,0.622474,0.03535
29.91117,21.88006,21.88006,19.41226,18.81309,0.1322508,0.243099,0.09623924,0.07832802,0.1645034,0.5014281,0.0001296436,0.489738,0.021858
20.40634,21.70915,21.70915,19.27982,18.96889,0.2272417,0.2886302,0.06311365,0.06691926,0.2305851,0.422824,0.0001083695,0.449982,0.029526
20.21275,22.26475,22.26475,19.75458,18.99818,0.2344077,0.2649332,0.1105242,0.07067949,0.1279762,0.5362068,0.0001355028,0.545181,0.028672
28.29223,21.81487,21.81487,19.17988,18.84567,0.2835072,0.2798457,0.0923356,0.05495759,0.1398623,0.5906298,0.0001498495,0.575334,0.028269
20.97575,21.62412,21.62412,19.69884,18.83467,0.2735845,0.2546883,0.06538461,0.09633143,0.1615758,0.6189008,0.0001539274,0.599934,0.047185
21.2448,21.48043,21.48043,19.57014,19.03035,0.2889301,0.1789367,0.09907991,0.06888012,0.1583582,0.6162246,0.0001598377,0.605233,0.051675
20.67297,20.91157,20.91157,18.92463,18.08422,0.2781425,0.1439628,0.07574681,0.05370402,0.08948589,0.5436208,0.000103163,0.538069,0.033099
20.70656,21.4132,21.4132,20.07278,19.13837,0.1918407,0.1610673,0.0961538,0.1060515,0.1827261,0.5166761,0.0001315289,0.508177,0.057503
20.69281,21.44016,21.44016,19.53604,18.92618,0.266861,0.2007408,0.09018023,0.08568652,0.2188633,0.6545551,0.000189126,0.667069,0.062501
20.47227,21.72332,21.72332,19.63513,19.33719,0.144982,0.21512,0.1120216,0.08348798,0.2105573,0.6435947,0.0002398816,0.585348,0.030085
28.36802,22.1038,22.1038,19.88641,19.57968,0.2452292,0.299017,0.1719668,0.09633111,0.2727107,0.6772351,0.0002630104,0.648429,0.038411
20.11766,19.52968,19.52968,18.9224,18.98071,0.08286583,0.03031378,0.03182599,0.0377013,0.1220365,0.4934663,8.326202E-05,0.442836,0.090294
21.03739,20.38012,20.38012,19.52317,19.35896,0.184277,0.04553954,0.04246817,0.05344781,0.1772761,0.4311765,5.377709E-05,0.278628,0.062558
20.45148,20.44894,20.44894,18.70223,18.56068,0.1944802,0.08584817,0.05081508,0.04725115,0.1850014,0.5200983,4.525456E-05,0.539069,0.062234
20.92198,20.336,20.336,19.28674,18.76505,0.1863985,0.05288038,0.03813794,0.05440336,0.1232814,0.4451958,4.097386E-05,0.334482,0.051496
19.98346,19.61856,19.61856,19.04225,18.82454,0.06409827,0.02052052,0.02594779,0.03055369,0.09256626,0.452683,6.805773E-05,0.312131,0.080424
20.11972,19.82067,19.82067,19.47628,19.28263,0.07263584,0.02248486,0.03077296,0.04117373,0.1248823,0.6687012,0.0001753086,0.328476,0.099224
20.19235,21.0296,21.0296,19.29921,18.80324,0.1369401,0.1058435,0.08512449,0.06843722,0.2143036,0.5684543,0.0001532608,0.550815,0.027986
21.23565,22.03978,22.03978,19.4223,18.87314,0.2287991,0.2396251,0.07644683,0.04923108,0.1100407,0.504831,0.0001092446,0.503949,0.027733
21.06524,21.46925,21.46925,19.32956,18.83318,0.2686582,0.1753267,0.07389455,0.06542093,0.1464241,0.6526888,0.0001397681,0.61064,0.048283
20.9197,20.64087,20.64087,19.93708,19.46152,0.1727615,0.08706328,0.1209663,0.1417735,0.2397389,0.5390816,7.550312E-05,0.640767,0.208796
19.92921,19.7807,19.7807,19.23465,18.78045,0.06747507,0.02675438,0.03279467,0.04216135,0.0988683,0.4299814,0.0001054673,0.638681,0.165888
21.31268,20.8619,20.8619,20.08784,19.8834,0.2962627,0.07586144,0.1158436,0.092403,0.2785267,0.4451926,0.0001347876,0.808671,0.221199
20.7567,20.55333,20.55333,19.9402,19.8033,0.1006728,0.04286232,0.04879294,0.05891497,0.1892253,0.6653069,0.0004137696,0.580007,0.191196
20.99985,20.42579,20.42579,19.36612,19.24103,0.2218217,0.06559598,0.04223387,0.06153194,0.1942373,0.4349808,2.082571E-05,0.372854,0.057657
21.06207,21.24924,21.24924,19.55066,19.50322,0.2509068,0.1363101,0.06002371,0.07411806,0.2393909,0.4032336,2.610313E-05,0.397798,0.064868
20.91165,20.69551,20.69551,20.1196,20.14981,0.1327061,0.04911363,0.06706344,0.07136904,0.2507575,0.5402403,0.0003310445,0.668896,0.184222
20.99727,20.88591,20.88591,19.7424,19.86357,0.1602368,0.06029268,0.06022901,0.05824822,0.2232317,0.5417361,0.000241305,0.512889,0.162072
20.76417,20.22665,20.22665,19.42983,18.79879,0.2083701,0.05415289,0.05077367,0.07093739,0.1381679,0.4814872,9.981419E-06,0.442903,0.13883
20.87653,20.42388,20.42388,19.48988,18.99933,0.1616667,0.05311272,0.05581157,0.06612716,0.1240692,0.4855112,0.0001425432,0.558132,0.149852
19.13897,18.90424,18.90424,17.98957,17.53692,0.05824458,0.02022254,0.01999452,0.02209841,0.06439491,0.4085333,3.045542E-05,0.254878,0.077431
21.23295,20.93134,20.93134,19.54403,19.2581,0.2823391,0.08597831,0.0713848,0.06062898,0.2040204,0.428458,5.812224E-05,0.6532,0.11501
19.78907,19.17038,19.17038,18.4901,18.39155,0.04090411,0.01157075,0.01315627,0.01453205,0.04836782,0.6679059,0.0001056856,0.171258,0.032584
19.78907,19.17038,19.17038,18.4901,18.39155,0.04090411,0.01157075,0.01315627,0.01453205,0.04836782,0.6677305,8.246539E-05,0.171258,0.032584
21.27138,20.9822,20.9822,19.80959,19.80288,0.1515679,0.05888304,0.04051095,0.04929119,0.1610287,0.4047994,1.987977E-05,0.402178,0.06615
21.46378,21.22312,21.22312,20.0335,20.03021,0.1874209,0.07393603,0.0508769,0.0622538,0.2023398,0.4438563,2.462222E-05,0.37381,0.096745
20.71132,20.84734,20.84734,20.05766,20.23625,0.09299401,0.04824965,0.04696603,0.05607025,0.211728,0.4958977,1.890343E-05,0.488297,0.170539
21.13491,20.57555,20.57555,19.13521,18.66808,0.2209526,0.07208689,0.04285607,0.04282137,0.09943531,0.4180152,6.731552E-05,0.316625,0.047336
20.63302,21.54713,21.54713,18.85326,18.43805,0.2100418,0.2040042,0.08204544,0.05753212,0.1016604,0.4994671,0.0001784653,0.468318,0.018138
20.95846,20.287,20.287,19.86506,19.31162,0.106058,0.03491889,0.04303487,0.04575332,0.1042169,0.6857275,0.0003627352,0.566009,0.225048
20.66691,20.21344,20.21344,19.25267,18.75191,0.1123777,0.04098616,0.03634461,0.03785121,0.08635791,0.4703578,0.0002622843,0.542927,0.145483
20.62222,20.36119,20.36119,19.28497,19.23301,0.1100454,0.04752106,0.03892095,0.04263701,0.1383817,0.4425315,8.725491E-05,0.551061,0.15215
20.29523,19.75988,19.75988,18.99122,18.56651,0.09565892,0.03217084,0.03161134,0.03433325,0.0852799,0.5020722,0.0001441262,0.258524,0.0774
21.41459,21.09249,21.09249,20.08414,19.84141,0.2123259,0.07880543,0.08403397,0.07538022,0.2069506,0.5757897,0.0005573439,0.679078,0.156045
21.97045,20.90014,20.90014,19.55694,19.27441,0.2810942,0.06233665,0.04907423,0.04084534,0.1117048,0.5111545,3.965936E-05,0.418265,0.201727
20.62288,20.4056,20.4056,19.83796,19.60523,0.08921479,0.03633814,0.03951927,0.04999023,0.1476424,0.5247184,1.128562E-05,0.324209,0.093116
21.78513,20.99721,20.99721,19.88634,19.70261,0.2535174,0.06310968,0.04469,0.0522681,0.1519834,0.45929,2.431098E-05,0.36288,0.082381
21.32054,20.67677,20.67677,19.81384,19.62985,0.1620065,0.04634089,0.05361275,0.04967232,0.1390194,0.6597227,0.0003749456,0.400912,0.186692
20.97336,20.55237,20.55237,19.68999,19.41261,0.108029,0.03745354,0.03595655,0.03981804,0.1125602,0.5248446,1.927512E-05,0.330004,0.096496
21.4961,20.68531,20.68531,19.70438,19.34536,0.2583019,0.06309246,0.04430008,0.05874186,0.1492678,0.4889414,2.324024E-05,0.371149,0.067261
21.23735,20.82819,20.82819,20.07808,19.74217,0.164114,0.05231483,0.07869287,0.06810727,0.1491057,0.6515089,9.332173E-05,0.684809,0.225774
21.6002,21.11016,21.11016,19.68603,19.28042,0.1910464,0.06096049,0.04061164,0.03934138,0.09008228,0.4300158,4.190076E-05,0.38752,0.068029
20.80459,19.95909,19.95909,18.8896,18.55725,0.1493824,0.0348649,0.02690624,0.02993579,0.07615799,0.426101,1.840814E-05,0.318944,0.042285
20.07472,19.79032,19.79032,18.79793,18.60702,0.09669725,0.03697137,0.03230882,0.03502273,0.1042149,0.4948637,5.727504E-05,0.448299,0.097527
20.07472,19.79032,19.79032,18.79793,18.60702,0.09669725,0.03697137,0.03230882,0.03502273,0.1042149,0.4949846,4.533892E-05,0.448299,0.097527
21.32593,21.82497,21.82497,19.07652,18.77265,0.2895533,0.2209472,0.06746212,0.04221541,0.1079968,0.4955353,0.0001629888,0.475349,0.024378
20.33937,19.77092,19.77092,18.92015,18.52215,0.1021825,0.03618156,0.0482466,0.0552874,0.06926911,0.4682891,3.39576E-05,0.488321,0.192583
21.07316,20.86026,20.86026,19.48453,19.03059,0.2480871,0.084297,0.05382279,0.07466999,0.1248519,0.4848964,2.595268E-05,0.39528,0.065908
20.01558,19.62427,19.62427,19.06251,18.64371,0.06114825,0.02139768,0.03025894,0.0298298,0.0704022,0.4367899,2.24211E-05,0.466376,0.199109
21.23035,20.8567,20.8567,19.51416,19.21303,0.1887859,0.07814387,0.05959786,0.05774546,0.1373197,0.5461428,3.144735E-05,0.449339,0.129747
21.02505,20.37508,20.37508,19.36995,19.09096,0.1529719,0.04262391,0.0360836,0.04216796,0.1186731,0.4487063,1.60946E-05,0.33061,0.054233
20.75579,20.4523,20.4523,19.24302,19.12707,0.1851091,0.07523023,0.06587072,0.05444624,0.1824676,0.5190516,0.0001490453,0.356971,0.100051
